,Kingdom,Phylum,Class,Order,Family,Genus
0139d2f481d0da1564afe439510eb652,Bacteria,Proteobacteria,Deltaproteobacteria,unc_Deltaproteobacteria,unc_Deltaproteobacteria,unc_Deltaproteobacteria
0145d7d343557c89a1d77cfb76509e48,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unc_Lachnospiraceae
014e8f1cfa17e12e0fbc7975c79095ba,Bacteria,Proteobacteria,Gammaproteobacteria,unc_Gammaproteobacteria,unc_Gammaproteobacteria,unc_Gammaproteobacteria
01558a5674e1982123d7397c4903a569,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,und_Muribaculaceae
015c3db67cf69de0ca478193537d7f29,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus
0166feef33a0db4be5d0049b45ee7676,Bacteria,Firmicutes,Clostridia,Clostridiales,unc_Clostridiales,unc_Clostridiales
017a0c98c2b9e81297e1d118a5020562,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,und_Muribaculaceae
017c5f92cb5d549bc56c3e42f177ae99,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unc_Bacteroidales,unc_Bacteroidales
019fed1e72b05144e12be7d702170e8f,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,unc_Desulfovibrionaceae
01ab44d451d677396c7d9a4bdf9f83c6,Bacteria,Actinobacteria,Actinobacteria,unc_Actinobacteria,unc_Actinobacteria,unc_Actinobacteria
01bb7eb9186c3f0b04b7b51ebd39e4bf,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
01bba275f81a2eb3e067af780f38a6c6,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
01d43eb4ce41497185382dfb9abdd5ae,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unc_Lachnospiraceae
01dde481ce35518c0473886ce25125da,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
01f134299fecfe3b1f77decef9ac1912,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,unc_Pseudomonadaceae
01f706cf3fc141c19bfc7966c784489f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
020d212938fa840df0079f85070fba9a,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
021915f58167ae49a96e91c4373ebf4c,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unc_Ruminococcaceae
022083dc2de83cb204b3cfba0a92de03,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
0220b2ab716230ad0a377f723332312f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
0234a3a065c73ebb3d7ed788674d7a0d,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
023c21c7bb665dcf5826814d6125f23c,Bacteria,Firmicutes,Clostridia,Clostridiales,und_Clostridiales,und_Clostridiales
0259d0d8e49cc4844188572470755a56,Bacteria,Firmicutes,Clostridia,Clostridiales,unc_Clostridiales,unc_Clostridiales
025cebcc08bf580b5093262d655c7e86,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,unc_Muribaculaceae
026907ca5a23d7419b1c251270142b47,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,und_Muribaculaceae
02789a77f44a0aeafb96ef07197d0d4a,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unc_Ruminococcaceae
0290b5a21df1e129c2f3bfe2fbb19ba3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
029b3ea5a8543c522f9e8592bb9150ca,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
02a062adff04111a20aac41332ecc56c,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unc_Lachnospiraceae
02a2d73358ec5a69e9873497da3b5e11,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
02bb110b8810aa88a4ecf0f81881bfa7,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
02c1a9a189697075c0cfb496366dcd05,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Mediterranea
02c49dbc899e8e69e608434547c95d88,Bacteria,Cyanobacteria/Chloroplast,Cyanobacteria,Cyanobacteria,Family_I,Phyllonema
02ceaa5c63d3e35dacb5104a3459210f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
02ced9386e2d2e1f8ecbd0a2ba51a7d0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
02dc580dce04ef2b669dd52c65d35ca7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
02dcf8dc0e23065417724c0a82f147e3,Bacteria,Firmicutes,Clostridia,Clostridiales,unc_Clostridiales,unc_Clostridiales
02e5ac762e7fdb96c69989be72ab4f96,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
02eb724835122e42b77278de0a11d817,Bacteria,Firmicutes,Firmicutes,unc_Firmicutes,unc_Firmicutes,unc_Firmicutes
02f9d326b07912b3906589d73a2d7622,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
02ffe091fa19526c42300186febfa381,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unc_Lachnospiraceae
0308b9a9840aeaa16a929bee74b43fde,Bacteria,Tenericutes,Mollicutes,unc_Mollicutes,unc_Mollicutes,unc_Mollicutes
0308d193ed86b941ac9089c0220a1be9,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
031b9134bf14f591d1b0a7abcb7220c2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,und_Muribaculaceae
0343c800cc11678b9c49760e9ae603ab,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
0349004ea285a772921e4e529e878b23,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
034b819460adc698ba26c9785dbd2e7a,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
0351eab8ab90b0957460bf3ff249d715,Bacteria,Firmicutes,Firmicutes,unc_Firmicutes,unc_Firmicutes,unc_Firmicutes
0353dc0ad8d6bcca9e8ca9822d0edeee,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
035c52b74ace389c445a28701c7f89ed,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
0363559008807ee85a1f6baba67502f2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acutalibacter
036fbd2e148d2a9a28172d410aacab39,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
037b61e6aa5d91b335f8edc1ff13ab09,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unc_Bacteroidales,unc_Bacteroidales
0392f3e296e8d2108ff2e047e4a19246,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unc_Bacteroidales,unc_Bacteroidales
039c8eb12fc6a3cfe9a4c7f5f3e64bd4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
03a3bc2dd1afaf6bf2e4a6aaffb726b0,Bacteria,Firmicutes,Clostridia,unc_Clostridia,unc_Clostridia,unc_Clostridia
03cf31475d5fbce7ca63484254eaca97,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella
03d079a0a254d049f89fcfbad6d7677e,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter
03e7e256ade701ea78b0d59e2144c2bc,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,unc_Peptostreptococcaceae
03ebb9e75fdc3009983ea036e5d5b05e,Bacteria,Firmicutes,Clostridia,Clostridiales,unc_Clostridiales,unc_Clostridiales
03f39b39f0b35aeb57d28db9a735309e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
03f406f2f5dca9e32d3e320232e2e62a,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unc_Ruminococcaceae
0416fd64c829ddab3853a6eeffc56591,Bacteria,Firmicutes,Clostridia,Clostridiales,unc_Clostridiales,unc_Clostridiales
041dcd2a8051e9dd1df452532e6d0cf6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unc_Lachnospiraceae
0439e1c739768b34f2928ec48473c36c,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
0461ed483c301591634da621248a7309,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unc_Lachnospiraceae
0462f7aae20e9bb3b6a5841f595eb6d2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
046684ef51f0164983a6bf847a3df776,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
0474798a05acafa377fe95c07408ce5e,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
048323cd4d0a0491600acdd75c360a9b,Bacteria,Firmicutes,Clostridia,Clostridiales,und_Clostridiales,und_Clostridiales
0484a58e35f637b58c5aab963cdcba2e,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
048873051b2e8804b67b6627563d2e56,Bacteria,Actinobacteria,Coriobacteriia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
048f5ba43f97a3a1f8a7f4c24e70793c,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
049744aa8ac236f6010c9854b41816df,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
049dd54bec8f89381e279aa499d9bfa7,Bacteria,Actinobacteria,Actinobacteria,Nakamurellales,Nakamurellaceae,Nakamurella
049ecc4c6189cdac93a4a9c99b323d0b,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
049fc07108a4cfd52cd037b6c0e26cd0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
04a375c2eb71d0aaf868e6393fc5570c,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flintibacter
04a3af6e37aa904420d4d6bc912625ef,Bacteria,Firmicutes,Clostridia,unc_Clostridia,unc_Clostridia,unc_Clostridia
04a53b2d21df56ced7109e8738a49516,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
04aa32b0404d69d1adcfa668f14f8813,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unc_Erysipelotrichaceae
04b2d2f5271ec0e00f64dea4a183277f,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
04c0b18d348bcff457b9e76356794be6,Bacteria,Firmicutes,Clostridia,unc_Clostridia,unc_Clostridia,unc_Clostridia
04cac44099fb24049b519d1dd5a63b48,Bacteria,Euryarchaeota,Halobacteria,unc_Halobacteria,unc_Halobacteria,unc_Halobacteria
04dd000490c01c1c83c3c88f6a3dff20,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium
04e12bacb3a73ef92eb84009b921cbde,Bacteria,Firmicutes,und_Firmicutes,und_Firmicutes,und_Firmicutes,und_Firmicutes
04e2bf47995756fb3ece2038ebb13392,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flintibacter
04e66aa5bf0bc0414808d95b17649b6d,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
04f8246509a7a9e1ea87a85ee41de406,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
050e87f9c9e3a1207e23a8a55ea9aab7,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
05131f08fa3ea299c6dc83b281f48a65,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
0516d4b035332666fea87331f58daeb3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
052f05bd2b989b23809c03202d5f2cb9,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
0530adf9ad9571caf6acaafafa028d44,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,unc_Lactobacillaceae
053e6af06709c7ca2ed45a8385b42806,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
0544399d772f1f820e15b36e729afad7,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unc_Lachnospiraceae
05487132a0f75186528a4f1fd7ad140a,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
05509c1326be960625c64aa08f37e0a7,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
05585c511dc91839d02a9f793c561a8f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum
05592809899995fc196c292eb6899380,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,und_Muribaculaceae
057883ebbbcbaa374cc95700d348b7c5,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
05866dcf42d2d90cc3933eb6342bd241,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
05a7e7533ea09d2e39605da81c419775,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
05be934d07f7e9038a04857986417814,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
05c54668249eead3a7960171610c4925,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
05c94e3b8d958c1807fac6644d93e8b3,Bacteria,Bacteroidetes,Bacteroidia,unc_Bacteroidia,unc_Bacteroidia,unc_Bacteroidia
05ebbe1733b4daab7899dc223f1b9101,Bacteria,Firmicutes,Clostridia,unc_Clostridia,unc_Clostridia,unc_Clostridia
05f3921f8faa73340ca22c4a7f52d800,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
05faa80f9a6aad46c46f36376a82d04f,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,unc_Desulfovibrionaceae
05fae7578d31be720d2fe7007fe38b3c,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,und_Erysipelotrichaceae
05fecb4e57b6d9c781f8844996c6a704,Bacteria,Bacteroidetes,Bacteroidia,unc_Bacteroidia,unc_Bacteroidia,unc_Bacteroidia
06010b8c1989be34c19e698888f05443,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
0613deef484238b1dc14c01d84cee8bc,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
06162de2a45fbc1c15ca654ebcc7c236,Bacteria,Actinobacteria,Actinobacteria,unc_Actinobacteria,unc_Actinobacteria,unc_Actinobacteria
0635c67cc05209ee756d7881263b17ff,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
063a1e7eb339da831ad1c7bc71b3404b,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
06455261b54066ed825b15355dac4243,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter
06521885e868ce60fe02efbb7788fb31,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
06588c60e1a630039568beca10b59ebc,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
0671f61bfdd9a51b184eefae43932030,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unc_Ruminococcaceae
06735165900604c2e9d245b774a9ee7b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unc_Bacteroidales,unc_Bacteroidales
06743cfab6f71c9e456800e51bec4331,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium
0684ccc16fb0c6b1d463740907d4ee90,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella
068bcf2fe52cbdfd98786867f9be67aa,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio
06a75bd648723341a35108e7f9027728,Bacteria,Proteobacteria,Gammaproteobacteria,unc_Gammaproteobacteria,unc_Gammaproteobacteria,unc_Gammaproteobacteria
06bc438faaaadc7e833d7af3d0450cbc,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella
06be769b3c5136e02ed8b10c9b718e89,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
06d04cce4a6996d4e610e3bdcf7e3200,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
06dd4629a60e6b0d262433456fd32650,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
06f9a3ef495850d0947d185cd9dae50c,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
06fbe5430dd8e125b994a2b16ea458d3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes
0700e792e87ff8c1608e3807f609cb47,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
072d31e1b7dbae92061ec8e05457d94e,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
073510a07cfb723722fc8cb37512cdc8,Bacteria,Actinobacteria,Actinobacteria,unc_Actinobacteria,unc_Actinobacteria,unc_Actinobacteria
074ec38c906541997bbc599216bf4ba7,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
076e6d72c41e92ecabb8c78417a8c5de,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
0772596a41d4379d826cad5a278f988a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
077762e935ff89c368f9e917f6d4e90b,Bacteria,Firmicutes,Clostridia,Clostridiales,unc_Clostridiales,unc_Clostridiales
0789261a62e2cdc0f72bfc7273ee26d8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
078d200d2dc8ccf03c7ed9b77255a10b,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
0794db3fdbd2490ac89f75655920637f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
07977398f27a348b6c8d5e2ae7aa667d,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unc_Ruminococcaceae
079b22d305df60df8baae6617f075c08,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
079c66ba1ec98290f2cf5726d5767641,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
07a4cec85910523c468abe9f960bcbf3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
07b1d2a3fd249e565df7e74ee15dd717,Bacteria,Firmicutes,Firmicutes,unc_Firmicutes,unc_Firmicutes,unc_Firmicutes
07b993624fdb6bb94b2d5262ed1769a0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
07cf3950d8fdae1cfe38927e9084da12,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unc_Bacteroidales,unc_Bacteroidales
07d1312853e7bfb4f593cc643a965f63,Bacteria,Firmicutes,Bacilli,unc_Bacilli,unc_Bacilli,unc_Bacilli
07f1a4844a470dc689f3c3dc781cfb9f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
07f85b059ab10e2ee8a41ffdf42cef22,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
07feab821f799012fcb1cec4a0b3f6f5,Bacteria,Firmicutes,Bacilli,Lactobacillales,unc_Lactobacillales,unc_Lactobacillales
080ece64ea60ca26d59b2ac74b6da964,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unc_Lachnospiraceae
081021109d234fbb766d9e0698a63800,Bacteria,Firmicutes,Firmicutes,unc_Firmicutes,unc_Firmicutes,unc_Firmicutes
081652d6d7fc3baacdbe1d681f6cc522,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,unc_Paenibacillaceae_1
0823f8fc8b26a1026a4aa05195a1f50b,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
083b488fc7051e5f75dbb90d5fe45202,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia
083f0d41ca9b3213d4d46b6c0fd0b035,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
0840448a644488e19269bc0897a81393,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
08457080ea4e1a31f363618c3d77b40b,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
084bb89dfdf0d86d41396fc98bd2c2bb,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,und_Clostridiaceae_1
0852eb90d2daac939ae4d04418dddb3b,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,unc_Desulfovibrionaceae
0859005e9fb96f4c7927b426038b2271,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
085bec1f0a9012d13aa0d10b18c779ce,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
0861b122d9f27236f74fbfac8e721b2e,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
0863e7e74eb4af9e2787a4e34fe58043,Bacteria,Firmicutes,Clostridia,Clostridiales,Catabacteriaceae,Catabacter
0866f4cf0b5b40814a9a925f9b5a582b,Bacteria,Bacteroidetes,Bacteroidia,unc_Bacteroidia,unc_Bacteroidia,unc_Bacteroidia
086e752cf8a0a61df84d5f811bcc1f0d,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unc_Bacteroidales,unc_Bacteroidales
087c62b2282a9688a494be9b2acd57d0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
087fe169e06e4db89d434bbd2d075461,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
0889d37132068a29061d055e1f1be97e,Bacteria,Proteobacteria,Betaproteobacteria,unc_Betaproteobacteria,unc_Betaproteobacteria,unc_Betaproteobacteria
08923f3f78648271ecebf420e1a4627b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
